"the_date","the_sentence","Revision","newtext"
1988-12-19,"Wind-chill is a much lesser factor.","Present","Wind-chill is a much lesser factor."
1986-01-21,"As I said, the dispute appears to arise more from personal and tribal conflicts of a traditional kind than from ideological variations.","Present","As I said, the dispute appears to arise more from personal and tribal conflicts of a traditional kind than from ideological variations."
1994-04-12,"The police officers suggested that an objective test would be sensible.","Past","The police officers suggested that an objective test would be sensible."
2002-07-16,"Progress at secondary level has not been fast enough, however, and no one can say that what we have now is as good as we want it to be.","Present","Progress at secondary level has not been fast enough, however, and no one can say that what we have now is as good as we want it to be."
1985-11-29,"Should the community health council, which formally represents the views of the local community, object, while the district wishes to proceed, the proposal will be referred to the regional health authority.","Present","Should the community health council, which formally represents the views of the local community, object, while the district wishes to proceed, the proposal will be referred to the regional health authority."
1993-12-02,"Secondly, on the same day, there will be extensive debating of European matters, into which he may probably squeeze a reference.","Future","Secondly, on the same day, there will be extensive debating of European matters, into which he may probably squeeze a reference."
1982-02-19,"Between 1979 and 1980 there were 4, 600 accidents on our roads as a direct result of stray dogs, and 43 of those accidents were fatal.","Past","one year and one month ago there were 4, 600 accidents on our roads as a direct result of stray dogs, and 43 of those accidents were fatal."
1992-05-12,"Coventry, South-East has its fair share of unemployment.","Present","Coventry, South-East has its fair share of unemployment."
1994-03-28,"That is the right way forward, rather than the new clauses.","Present","That is the right way forward, rather than the new clauses."
1997-06-16,"The services represented there include the civil service as well as the police force.","Present","The services represented there include the civil service as well as the police force."
2014-03-24,"Germany is not a bastion of hard right-wing fiscal conservatism, yet it managed to reduce its spending right through the first decade of this century.","Past","Germany is not a bastion of hard right-wing fiscal conservatism, yet it managed to reduce its spending right through the first decade of this century."
1991-06-04,"I note also that he fell somewhat short of giving a clear undertaking on behalf of his party—for whatever that would be worth—","Present","I note also that he fell somewhat short of giving a clear undertaking on behalf of his party—for whatever that would be worth—"
2004-05-20,"Ministers frequently meet the National Farmers Union and other farming organisations to discuss a range of topical subjects, including sugar reform.","Present","Ministers frequently meet the National Farmers Union and other farming organisations to discuss a range of topical subjects, including sugar reform."
1989-04-04,"The overall pupil-teacher ratio in maintained nursery, primary and secondary schools has improved from 17·9 in January 1984 to 17 in January 1988.","Past","The overall pupil-teacher ratio in maintained nursery, primary and secondary schools has improved from 17·one year and 2 months ago."
2005-01-27,"It is very interesting to note that the Leader of the Opposition's own policy document on taxes says that the options discussed in that paper represent a menu from which a Conservative Government may draw when formulating their Budgets.","Present","It is very interesting to note that the Leader of the Opposition's own policy document on taxes says that the options discussed in that paper represent a menu from which a Conservative Government may draw when formulating their Budgets."
1993-11-24,"Retail sales figures issued last week for October showed a year-on-year increase of 3·2 per cent. in volume and 5·5 per cent. in value.","Past","Retail sales figures issued last week for October showed a year-on-year increase of 3·2 per cent. in volume and 5·5 per cent. in value."
1981-02-27,"I am now sitting through a second debate and, important though it may be for people in Scotland, I am now faced with the prospect of my Bill not being debated this afternoon.","Present","I am now sitting through a second debate and, important though it may be for people in Scotland, I am now faced with the prospect of my Bill not being debated this afternoon."
2010-01-06,"Given that technology is vital in allowing us to stay one step ahead of the terrorist threat, why have the Government cut spending on defence research by 23 per cent. over the past three years?","Past","Given that technology is vital in allowing us to stay one step ahead of the terrorist threat, why have the Government cut spending on defence research by 23 per cent. over the past three years?"
1993-01-25,"It is fortunate that my next paragraph relates to Ireland.","Present","It is fortunate that my next paragraph relates to Ireland."
2007-06-06,"What recent discussions he has had with the Chancellor of the Exchequer on the operation of the Barnett formula as it affects Wales.","Past","What recent discussions he has had with the Chancellor of the Exchequer on the operation of the Barnett formula as it affects Wales."
2000-01-25,"The Honourable Gentleman is indulging in a mischievous prank.","Present","The Honourable Gentleman is indulging in a mischievous prank."
1990-04-27,"I cannot be specific at this stage except to say that I hope that he understood from my view, which in this instance i s purely a personal view, that I am endeavouring to do something about the problem.","Present","I cannot be specific at this stage except to say that I hope that he understood from my view, which in this instance i s purely a personal view, that I am endeavouring to do something about the problem."
2007-01-09,"My Honourable Friend is quite right to say that waiting times are too long at the moment, particularly for CBT.","Present","My Honourable Friend is quite right to say that waiting times are too long at the moment, particularly for CBT."
2003-05-13,"The first is cost.","Present","The first is cost."
1996-07-15,"I note from the order that a contractor will be responsible for collecting the liabilities of a deceased person.","Future","I note from the order that a contractor will be responsible for collecting the liabilities of a deceased person."
1998-02-11,"Fisher and Wright are being treated as common murderers, as if they had set out that morning with the intention of murdering someone.","Present","Fisher and Wright are being treated as common murderers, as if they had set out that morning with the intention of murdering someone."
1998-06-11,"We have also introduced five prototype employment zones, which began in February.","Past","We have also introduced five prototype employment zones, which began in February."
1998-03-20,"I am sure that my right Honourable Friend agrees that, having sat on the Government Benches listening to report after report of privatisation scandals in recent months, it beggars belief that anyone could urge wholesale privatisation of London Underground.","Past","I am sure that my right Honourable Friend agrees that, having sat on the Government Benches listening to report after report of privatisation scandals in recent months, it beggars belief that anyone could urge wholesale privatisation of London Underground."
1984-11-23,"This is experimentation gone mad.","Present","This is experimentation gone mad."
2000-01-27,"Until about 7 o'clock, there will be a debate on immigration and asylum followed by a debate entitled ""The Two Britains: the run down of Northern Cities and over-building in the South"".","Present","Until about 7 o'clock, there will be a debate on immigration and asylum followed by a debate entitled ""The Two Britains: the run down of Northern Cities and over-building in the South""."
2010-12-13,"In fact, I have just been told that Tameside has a reduction in spending of 6.2%, which hardly figures with what the Honourable Gentleman has just said, so I shall look forward to finding a nice thank-you note from him on the board tonight.","Present","In fact, I have just been told that Tameside has a reduction in spending of 6.2%, which hardly figures with what the Honourable Gentleman has just said, so I shall look forward to finding a nice thank-you note from him on the board tonight."
1984-04-25,"asked the Secretary of State for Foreign and Commonwealth Affairs if he will make a statement on the current state of Anglo-Jordanian relations.","Present","asked the Secretary of State for Foreign and Commonwealth Affairs if he will make a statement on the current state of Anglo-Jordanian relations."
2003-05-20,"Only last month, he told the conference of the National Association of Schoolmasters/Union of Women Teachers: ""The tests are here to stay, and so are the targets"".","Past","Only last month, he told the conference of the National Association of Schoolmasters/Union of Women Teachers: ""The tests are here to stay, and so are the targets""."
2011-10-10,"That is a matter of opinion rather than a matter for prosecution.","Present","That is a matter of opinion rather than a matter for prosecution."
2009-04-29,"That is rising to £3 billion next year.","Future","That is rising to £3 billion next year."
2000-04-19,"He cannot have spent it all on wallpaper.","Past","He cannot have spent it all on wallpaper."
1980-07-03,"What about the 42 per cent. arrested who are not guilty?","Present","What about the 42 per cent. arrested who are not guilty?"
1995-10-26,"Thereafter, it has to be a matter for my right Honourable and learned Friend the Home Secretary to consider,, in the light of individual circumstances, whether it is appropriate to repatriate, if that is requested, a prisoner to the Republic of Ireland, where he or she is domiciled.","Present","Thereafter, it has to be a matter for my right Honourable and learned Friend the Home Secretary to consider,, in the light of individual circumstances, whether it is appropriate to repatriate, if that is requested, a prisoner to the Republic of Ireland, where he or she is domiciled."
1984-03-12,"A copy of this evidence was placed in the Library of the House of Commons on 7 October 1982.","Past","A copy of this evidence was placed in the Library of the House of Commons one year and 5 months ago."
1984-06-12,"Does my Honourable Friend agree that, bearing in mind the turnout achieved in another place last night, it is clear that the Government Whips in the other place had been grave robbing?","Past","Does my Honourable Friend agree that, bearing in mind the turnout achieved in another place last night, it is clear that the Government Whips in the other place had been grave robbing?"
1998-07-21,"The Scottish nationalists actually think that we should spend more of the Scottish budget on supporting students from outside Scotland than the £65 million net that we spend now.","Present","The Scottish nationalists actually think that we should spend more of the Scottish budget on supporting students from outside Scotland than the £65 million net that we spend now."
1994-05-18,"Does the Secretary of State accept that, despite his protestations to the contrary, the problem is seriously growing?","Present","Does the Secretary of State accept that, despite his protestations to the contrary, the problem is seriously growing?"
1994-07-14,"In his speech on the Second Reading on 14 March, my Honourable Friend the Member for Newham, South (Mr Spearing) described the transformation of the docks from a heavily policed working area surrounded by high walls, dock gates and high security to an area predominantly given over to leisure, public access and recreation.","Past","In his speech on the Second Reading on 14 March, my Honourable Friend the Member for Newham, South (Mr Spearing) described the transformation of the docks from a heavily policed working area surrounded by high walls, dock gates and high security to an area predominantly given over to leisure, public access and recreation."
1994-03-03,"I should remind him that the United Kingdom invests more abroad than is invested in this country.","Present","I should remind him that the United Kingdom invests more abroad than is invested in this country."
2014-12-08,"On the important link to the south-west, did the Government look at the alternative to a tunnel of deviating the road a little further away from Stonehenge —giving generous compensation to landowners—and building a much cheaper road above ground?","Past","On the important link to the south-west, did the Government look at the alternative to a tunnel of deviating the road a little further away from Stonehenge —giving generous compensation to landowners—and building a much cheaper road above ground?"
1996-03-29,"May I draw a parallel from a different matter which remains persistently within the British safety regulations?","Present","May I draw a parallel from a different matter which remains persistently within the British safety regulations?"
1979-11-09,"The Bill encourages young people to work together with society and within society, rather than to feel alienated and possibly against society.","Present","The Bill encourages young people to work together with society and within society, rather than to feel alienated and possibly against society."
2010-01-26,"Well, I have much greater faith in the British voter than any of the Conservative Members present.","Present","Well, I have much greater faith in the British voter than any of the Conservative Members present."
1990-07-03,"The figure for my district is similar.","Present","The figure for my district is similar."
1996-06-13,"The use of these facilities by terrorists is a matter that has to be pursued on a case-by-case basis.","Present","The use of these facilities by terrorists is a matter that has to be pursued on a case-by-case basis."
1992-02-07,"There is an immediate stipulation that people must bring their credit card or, failing that, their driving licences.","Present","There is an immediate stipulation that people must bring their credit card or, failing that, their driving licences."
2005-04-06,"Today's decision by Dairy Farmers of Britain to close the Llangadog creamery, which will also affect the milk bottling plant in Cardiff, shows the difficulty that we have in the dairy industry in Wales at the moment.","Present","Today's decision by Dairy Farmers of Britain to close the Llangadog creamery, which will also affect the milk bottling plant in Cardiff, shows the difficulty that we have in the dairy industry in Wales at the moment."
1992-04-28,"It would be enormously helpful if the Whips, who know the procedure today, would help with the crowd.","Present","It would be enormously helpful if the Whips, who know the procedure today, would help with the crowd."
2001-12-11,"Indeed, the chief medical officer's report, which was published yesterday, makes that glaringly obvious.","Past","Indeed, the chief medical officer's report, which was published yesterday, makes that glaringly obvious."
1991-03-15,"Does my Honourable Friend remember meeting the mayor of Bethlehem, who said that 5,000 Palestinians from Bethlehem who had been working in Kuwait could no longer do so and that those who had been sending remittancee from Kuwait to Bethlehem suddenly found that, because of the equalisation of the Iraqi and the Kuwaiti dinar, their bank accounts were worthless and those remittances stopped?","Past","Does my Honourable Friend remember meeting the mayor of Bethlehem, who said that 5,000 Palestinians from Bethlehem who had been working in Kuwait could no longer do so and that those who had been sending remittancee from Kuwait to Bethlehem suddenly found that, because of the equalisation of the Iraqi and the Kuwaiti dinar, their bank accounts were worthless and those remittances stopped?"
1996-06-20,"With this week's cut in the premium to a measly 15p per kilogram, the loss will be about £158 per animal.","Present","With this week's cut in the premium to a measly 15p per kilogram, the loss will be about £158 per animal."
1987-01-28,"Nor did we experience any lack of managing agents or employers who are willing to provide the training required.","Past","Nor did we experience any lack of managing agents or employers who are willing to provide the training required."
1992-01-22,"How does the Honourable Gentleman believe that I could justify spending 20 times more than the national average—20 times more than on anywhere else in Scotland—on the hostel at Randolph crescent?","Present","How does the Honourable Gentleman believe that I could justify spending 20 times more than the national average—20 times more than on anywhere else in Scotland—on the hostel at Randolph crescent?"
2007-12-03,"How much of the £3.5 billion does he think should be written off?","Present","How much of the £3.5 billion does he think should be written off?"
1997-03-13,"Is it not time that this House debated its own integrity and the leaking of documents, such as Select Committee reports, long before they are published?","Present","Is it not time that this House debated its own integrity and the leaking of documents, such as Select Committee reports, long before they are published?"
1991-05-22,"One important confidence-building measure, if the United Nations is represented at the conference, would be the rescinding of the ""Zionism is racism"" resolution.","Present","One important confidence-building measure, if the United Nations is represented at the conference, would be the rescinding of the ""Zionism is racism"" resolution."
1990-06-27,"Of the 88 local authority directors of social services who responded to me, 84—[HON.","Past","Of the 88 local authority directors of social services who responded to me, 84—[HON."
2014-02-03,"The Commonwealth War Graves Commission is very keen that people should visit not just the big sites such as Tyne Cot, but the smaller, intimate sites of the sort to which my Honourable Friend refers, which can be the most poignant.","Present","The Commonwealth War Graves Commission is very keen that people should visit not just the big sites such as Tyne Cot, but the smaller, intimate sites of the sort to which my Honourable Friend refers, which can be the most poignant."
1995-10-25,"From 1988 to early 1991, Mr Green was head of the Foreign and Commonwealth Office Department responsible for the international aspects of the Lockerbie affair.","Past","7 years and 9 months ago to early 1991, Mr Green was head of the Foreign and Commonwealth Office Department responsible for the international aspects of the Lockerbie affair."
1985-06-13,"Sometimes in the past few months there has been too much optimism about the talks and sometimes there has been too much pessimism.","Past","Sometimes in the past few months there has been too much optimism about the talks and sometimes there has been too much pessimism."
2015-03-23,"The Lancashire Police Federation says that the police are at breaking point.","Present","The Lancashire Police Federation says that the police are at breaking point."
2001-07-03,"Beyond that, given the excellent wisdom and judgment of the Irish people, expressed recently in a referendum, about what the Chief Secretary is now claiming for enlargement—they were not conned for a moment—will he now give us a referendum on Nice before we make the final commitment?","Past","Beyond that, given the excellent wisdom and judgment of the Irish people, expressed recently in a referendum, about what the Chief Secretary is now claiming for enlargement—they were not conned for a moment—will he now give us a referendum on Nice before we make the final commitment?"
1994-06-15,"Of course, we would be concerned if there was a resurgence of fascism in Italy.","Present","Of course, we would be concerned if there was a resurgence of fascism in Italy."
1995-12-12,"Will he give his support to the moves in the east end to build a suitable memorial to the civilian dead?","Present","Will he give his support to the moves in the east end to build a suitable memorial to the civilian dead?"
1994-07-14,"I think that it was just after 10 o'clock, Madam Speaker.","Present","I think that it was just after 10 o'clock, Madam Speaker."
2000-11-27,"Does the Secretary of State accept that the invaluable contribution of the TA in the recent floods underlines the mistake that he made by massively slashing 18,000 TA officers?","Past","Does the Secretary of State accept that the invaluable contribution of the TA in the recent floods underlines the mistake that he made by massively slashing 18,000 TA officers?"
1981-02-26,"The special and selective aids are supposed to be for mobile investment, and by definition the mines are not mobile.","Present","The special and selective aids are supposed to be for mobile investment, and by definition the mines are not mobile."
1991-02-07,"Does my Honourable Friend agree that that is one of the most important points, because if the CAA proposals are accepted, they are likely to lead to an increase in long-haul flights into Heathrow to the disadvantage of our own flag carrier, British Airways?","Present","Does my Honourable Friend agree that that is one of the most important points, because if the CAA proposals are accepted, they are likely to lead to an increase in long-haul flights into Heathrow to the disadvantage of our own flag carrier, British Airways?"
1983-03-30,"I am surprised that some of the representations that I have received have made no reference to the Criminal Evidence Act 1965, on which clause 53 is largely based, although it does not apply to public records.","Past","I am surprised that some of the representations that I have received have made no reference to the Criminal Evidence Act 1965, on which clause 53 is largely based, although it does not apply to public records."
2002-01-18,"There is a discrepancy in the provision.","Present","There is a discrepancy in the provision."
1993-06-24,"The view of the Royal Navy and the Ministry of Defence is that the strategic considerations can be satisfied by the placing of Trident work at either Rosyth or Devonport.","Present","The view of the Royal Navy and the Ministry of Defence is that the strategic considerations can be satisfied by the placing of Trident work at either Rosyth or Devonport."
1986-04-23,"The best description of the inanities of this money-eating monster is in last year's July report by the Comptroller and Auditor General.","Past","The best description of the inanities of this money-eating monster is in last year's July report by the Comptroller and Auditor General."
1990-05-21,"However, as the rule that would prevent a statue of him from being erected until 10 years after his death has been in force since 1925, it has a respectable ancestry.","Past","However, as the rule that would prevent a statue of him from being erected until 10 years after his death has been in force since 1925, it has a respectable ancestry."
2010-02-24,"Does my Honourable Friend agree that the EPS could scupper the whole carbon capture project?","Present","Does my Honourable Friend agree that the EPS could scupper the whole carbon capture project?"
2006-02-06,"I live in hope.","Present","I live in hope."
1995-05-10,"I have rebelled only twice: once over the social security reforms in 1988—","Past","I have rebelled only twice: once over the social security reforms 7 years and 4 months ago—"
1999-10-21,"Under our stewardship, France is isolated within Europe.","Present","Under our stewardship, France is isolated within Europe."
1986-11-21,"The only short speech that we have had all day was on a point of order.","Present","The only short speech that we have had all day was on a point of order."
1991-11-18,"To ask the Attorney-General what proposals he has to reduce the time between individuals being arrested and their being prosecuted.","Present","To ask the Attorney-General what proposals he has to reduce the time between individuals being arrested and their being prosecuted."
1998-04-28,"When the first national survey of patients and user experience will be carried out in the NHS.","Future","When the first national survey of patients and user experience will be carried out in the NHS."
2015-02-26,"On that point, I have had correspondence with a hospital in my constituency called the Walton neuro centre.","Past","On that point, I have had correspondence with a hospital in my constituency called the Walton neuro centre."
1996-07-02,"My Honourable Friend is aware that in Northdown road in Cliftonville, formerly one of the south-east's fine shopping centres, there are now 40 empty shops, and there are more in Margate high street.","Present","My Honourable Friend is aware that in Northdown road in Cliftonville, formerly one of the south-east's fine shopping centres, there are now 40 empty shops, and there are more in Margate high street."
2006-10-26,"What is the British Government's attitude to the increasing inequality between large and small states, particularly when there are now so many small ones?","Present","What is the British Government's attitude to the increasing inequality between large and small states, particularly when there are now so many small ones?"
2008-11-11,"I endorse all that he has said about the third runway extension at Heathrow, but what does he think of the proposal for a new London airport in the Thames estuary?","Present","I endorse all that he has said about the third runway extension at Heathrow, but what does he think of the proposal for a new London airport in the Thames estuary?"
1992-11-05,"Does the Minister agree with the estimate in The Timesthat his policy for set-aside will cost British taxpayers £130 million a year, without making any real difference to EC yields and without any beneficial environmental effect?","Future","Does the Minister agree with the estimate in The Timesthat his policy for set-aside will cost British taxpayers £130 million a year, without making any real difference to EC yields and without any beneficial environmental effect?"
2000-04-20,"When I hear Opposition spokesmen refer to patterns of sittings, I start to worry.","Present","When I hear Opposition spokesmen refer to patterns of sittings, I start to worry."
2002-06-19,"The compromise was reached because, with the help of many Tory Members, who lobbied—","Past","The compromise was reached because, with the help of many Tory Members, who lobbied—"
2001-12-19,"Certain categories of firework can be sold to people as young as 16.","Present","Certain categories of firework can be sold to people as young as 16."
2014-01-29,"The right Honourable Gentleman laboured heavily on grammar.","Present","The right Honourable Gentleman laboured heavily on grammar."
1979-07-09,"Will the Minister's advisers also examine the new combined alcohol and petrol engines which have been used in California?","Present","Will the Minister's advisers also examine the new combined alcohol and petrol engines which have been used in California?"
1995-06-12,"Some 99 per cent. of those requests were dealt with in the target of 20 working days.","Past","Some 99 per cent. of those requests were dealt with in the target of 20 working days."
2014-01-24,"I do not know whether you are familiar with that pub from your visits to Edinburgh, Madam Deputy Speaker— I can assure the House that it is a delightful watering hole and the type of place that Madam Deputy Speaker might visit during her frequent visits to Scotland.","Present","I do not know whether you are familiar with that pub from your visits to Edinburgh, Madam Deputy Speaker— I can assure the House that it is a delightful watering hole and the type of place that Madam Deputy Speaker might visit during her frequent visits to Scotland."
1992-09-25,"Earlier, the right Honourable Gentleman referred to other parts of the world, where lack of television coverage means that things remain hidden.","Present","Earlier, the right Honourable Gentleman referred to other parts of the world, where lack of television coverage means that things remain hidden."
2006-06-06,"The public consultation on the manifesto—which formed part of our national policy forum consultations with the general public as well as with Labour party members—was the biggest undertaken by any political party in the world.","Past","The public consultation on the manifesto—which formed part of our national policy forum consultations with the general public as well as with Labour party members—was the biggest undertaken by any political party in the world."
2014-04-30,"Does my Honourable Friend find it peculiar that Labour’s position is to allow an increase in taxes in Wales, thereby handing a tax advantage to England?","Present","Does my Honourable Friend find it peculiar that Labour’s position is to allow an increase in taxes in Wales, thereby handing a tax advantage to England?"
1996-12-18,"My right Honourable Friend issued a consultation paper on the rough sleepers initiative on 11 December.","Past","My right Honourable Friend issued a consultation paper on the rough sleepers initiative on 11 December."
2000-12-15,"My Honourable Friend cites all the disadvantages of using adult stem cells as opposed to embryonic stem cells.","Present","My Honourable Friend cites all the disadvantages of using adult stem cells as opposed to embryonic stem cells."
1993-03-12,"It is prepared to find the money to build a factory in America, France or Germany that it is not prepared to build here.","Future","It is prepared to find the money to build a factory in America, France or Germany that it is not prepared to build here."
2012-03-26,"I understand the Honourable Gentleman’s concerns about the two-state solution, but does he agree that until the Hamas element of the Palestinian Authority accepts the Quartet principles, there can be no negotiated peace process?","Present","I understand the Honourable Gentleman’s concerns about the two-state solution, but does he agree that until the Hamas element of the Palestinian Authority accepts the Quartet principles, there can be no negotiated peace process?"
1982-01-18,"British Aluminium decided to go there of its own volition.","Past","British Aluminium decided to go there of its own volition."
1985-02-04,"That they will crawl back.","Future","That they will crawl back."
1984-06-20,"That depends on how they perform.","Present","That depends on how they perform."
2003-05-08,"Is not that simply managing decline in the steel industry rather than growth in the UK?","Present","Is not that simply managing decline in the steel industry rather than growth in the UK?"
1983-01-20,"At the end of the third quarter of 1982 public intervention stocks of butter and wheat were 41,364 tonnes and 1,391,000 tonnes respectively higher than at the same stage in 1981.","Past","At the end of 6 months ago public intervention stocks of butter and wheat were 41,364 tonnes and 1,391,000 tonnes respectively higher than at the same stage 2 years ago."
1997-12-17,"Some would say that it is a necessary precondition for a Member joining the Government, an Administration without values and principles, to learn quickly to say one thing one day and do the opposite just a while later.","Present","Some would say that it is a necessary precondition for a Member joining the Government, an Administration without values and principles, to learn quickly to say one thing one day and do the opposite just a while later."
2001-03-21,"On resources, clearly there have not been enough vets in the field.","Past","On resources, clearly there have not been enough vets in the field."
2007-11-26,"The Honourable Gentleman, who is being very kind in allowing interventions, mentions Facebook.","Present","The Honourable Gentleman, who is being very kind in allowing interventions, mentions Facebook."
1986-07-23,"In my innocence, I thought that he understood the intense social problems in that inner city area.","Present","In my innocence, I thought that he understood the intense social problems in that inner city area."
1997-07-10,"297. c.","Present","297. c."
1985-04-03,"If I am not mistaken, his arrival on the scene is an example of the Government and the Home Secretary going further than the European Court actually requires.","Present","If I am not mistaken, his arrival on the scene is an example of the Government and the Home Secretary going further than the European Court actually requires."
2004-01-12,"More than one and a half years later, however, all those people are still drawing housing benefit.","Present","More than one and a half years later, however, all those people are still drawing housing benefit."
1986-11-04,"The Prime Minister will recall that when the decision was taken on the dual track to have cruise and Pershing in this country it was on the ground that it would force the Russians to the table and make them take out the SS20s.","Past","The Prime Minister will recall that when the decision was taken on the dual track to have cruise and Pershing in this country it was on the ground that it would force the Russians to the table and make them take out the SS20s."
1999-06-08,"I was merely asking why we need a directive to implement such measures.","Present","I was merely asking why we need a directive to implement such measures."
1999-11-26,"The scheme is intended to be used only when the natural flow of the river cannot meet customer demand for water during periods of historically low flow—that is, from May to December.","Present","The scheme is intended to be used only when the natural flow of the river cannot meet customer demand for water during periods of historically low flow—that is, from May to December."
1990-03-15,"I have not made the point of order yet.","Present","I have not made the point of order yet."
2005-05-17,"The Government made it illegal to drive a car while using a mobile phone, yet that law is not being enforced.","Past","The Government made it illegal to drive a car while using a mobile phone, yet that law is not being enforced."
2000-07-03,"There is little comparability between those employed on Short money and special advisers.","Present","There is little comparability between those employed on Short money and special advisers."
2003-11-06,"He is a man of great independence, so I recognise that he will weigh up the advantages of the advice that he is given, perhaps from the usual channels, as he goes through the Division Lobby.","Present","He is a man of great independence, so I recognise that he will weigh up the advantages of the advice that he is given, perhaps from the usual channels, as he goes through the Division Lobby."
2005-01-12,"The Honourable Lady asked about applications under the Bellwin formula.","Present","The Honourable Lady asked about applications under the Bellwin formula."
1987-02-06,"That was simply because as a Scottish Member I know that it is difficult to be here on Friday.","Present","That was simply because as a Scottish Member I know that it is difficult to be here on Friday."
1995-11-29,"Just a few minutes ago, the Minister justified the sanctions against the murderous regime in Iraq, and I understand and appreciate why.","Present","Just a few minutes ago, the Minister justified the sanctions against the murderous regime in Iraq, and I understand and appreciate why."
1989-12-13,"The arrangements between those schools which have no overall majority in control of the governing body and those which have are similar in Northern Ireland, England and Wales.","Present","The arrangements between those schools which have no overall majority in control of the governing body and those which have are similar in Northern Ireland, England and Wales."
1982-06-08,"Therefore, the colonialist attitude which seems to shine through to the sceptic as he peruses the pages of the Bill is the consequence of the good will from which I am afraid my right Honourable and Honourable Friends have suffered when they have considered the matter.","Present","Therefore, the colonialist attitude which seems to shine through to the sceptic as he peruses the pages of the Bill is the consequence of the good will from which I am afraid my right Honourable and Honourable Friends have suffered when they have considered the matter."
2010-01-13,"[P000708]","Present","[P000708]"
2012-09-04,"What recent assessment has he made of the spate of killings this summer of trade unionists in Colombia known personally to members of the British trade union movement?","Past","What recent assessment has he made of the spate of killings this summer of trade unionists in Colombia known personally to members of the British trade union movement?"
1989-12-21,"As a result of those continuing consultations, the Lord Chancellor's Department holds a large and growing body of information and opinions about several thousand lawyers and judges.","Present","As a result of those continuing consultations, the Lord Chancellor's Department holds a large and growing body of information and opinions about several thousand lawyers and judges."
1983-06-28,"I thought that I heard the Honourable Gentleman use the word ""lie"".","Present","I thought that I heard the Honourable Gentleman use the word ""lie""."
1988-04-19,"I think that the Honourable Gentleman is about to deal with an amendment which has not been selected because it is out of order.","Present","I think that the Honourable Gentleman is about to deal with an amendment which has not been selected because it is out of order."
2007-03-20,"The right Honourable Gentleman said that this was the first country in Europe to abolish slavery, which is absolutely true.","Past","The right Honourable Gentleman said that this was the first country in Europe to abolish slavery, which is absolutely true."
1999-01-20,"It informed people that HSA was up for disposal—stop and end.","Past","It informed people that HSA was up for disposal—stop and end."
2003-05-12,"Although it is correct that sanctions should be lifted, why is it necessary to provide new arrangements for the administration of Iraq's oil revenues, as the oil-for-food programme is already in place?","Present","Although it is correct that sanctions should be lifted, why is it necessary to provide new arrangements for the administration of Iraq's oil revenues, as the oil-for-food programme is already in place?"
1996-03-06,"It would be far better if Taiwanese politicians lowered their rhetoric and if the Chinese Government lowered their overreaction.","Present","It would be far better if Taiwanese politicians lowered their rhetoric and if the Chinese Government lowered their overreaction."
2006-05-02,"As the Secretary of State knows, aircraft movements at Heathrow are under his control, because Heathrow is a designated airport under the Civil Aviation Act 1982.","Present","As the Secretary of State knows, aircraft movements at Heathrow are under his control, because Heathrow is a designated airport under the Civil Aviation Act 1982."
1985-05-24,"Whereas the French Government regard commercial assistance as a method of winning the game, and the Japanese put in six sides to field to ensure that the odds are stacked in their favour, British commercial practice is for the private sector to sit down in its PEP, BOTB, Foreign and Commonwealth Office and Department of Trade and Industry pavilions arguing at length about the rules of the game.","Present","Whereas the French Government regard commercial assistance as a method of winning the game, and the Japanese put in six sides to field to ensure that the odds are stacked in their favour, British commercial practice is for the private sector to sit down in its PEP, BOTB, Foreign and Commonwealth Office and Department of Trade and Industry pavilions arguing at length about the rules of the game."
1985-06-20,"He stated that previous announcements on pay awards to nurses had been made by written answer.","Past","He stated that previous announcements on pay awards to nurses had been made by written answer."
1993-10-25,"Switching to a different level, it is not surprising to see the effect of Government cuts on people's thinking.","Present","Switching to a different level, it is not surprising to see the effect of Government cuts on people's thinking."
1986-01-21,"asked the Prime Minister if she will list her official engagements for Tuesday 21 January.","Present","asked the Prime Minister if she will list her official engagements for Tuesday 21 January."
2011-07-13,"Will the Prime Minister look into the matter personally, and will it be part of the inquiry?","Present","Will the Prime Minister look into the matter personally, and will it be part of the inquiry?"
1987-05-11,"Will my right Honourable and learned Friend remind the Opposition that, in spite of constant exhortations to restraint, local government spending in volume terms is higher today than in 1979?","Past","Will my right Honourable and learned Friend remind the Opposition that, in spite of constant exhortations to restraint, local government spending in volume terms is higher today than 8 years and 4 months ago?"
1979-11-07,"Is the Minister aware that a large number of coaches for public hire that are used in the evenings, and sometimes return in the early hours of the morning, are driven by people who have done a full day's work in another capacity?","Present","Is the Minister aware that a large number of coaches for public hire that are used in the evenings, and sometimes return in the early hours of the morning, are driven by people who have done a full day's work in another capacity?"
1990-01-17,"It is five years since the alleged irregularities and fraud took place, and 18 months since the previous Secretary of State received the report.","Past","It is five years since the alleged irregularities and fraud took place, and 18 months since the previous Secretary of State received the report."
1996-06-27,"For April and May, they are 12 and 15 per cent. higher, respectively, than a year ago.","Past","For April and May, they are 12 and 15 per cent. higher, respectively, than a year ago."
2005-07-11,"To prove that there has been an offence, there must have been threatening, abusive or insulting language or behaviour as part of the play.","Present","To prove that there has been an offence, there must have been threatening, abusive or insulting language or behaviour as part of the play."
1980-11-10,"I make no apologies for the deliberate looseness of the phraseology.","Present","I make no apologies for the deliberate looseness of the phraseology."
1986-03-18,"The boundaries for the priority areas are drawn up, not by us, but by the European Commission.","Present","The boundaries for the priority areas are drawn up, not by us, but by the European Commission."
